code,link,address,barrio,distrito,ciudad,lat,lon,price,area,has_elevator,floor,exterior,rooms
92108754,https://www.idealista.com/inmueble/92108754/,Calle de San Pedro de Cardeña,Barrio Apóstol Santiago,Distrito Hortaleza,Madrid,40.4750247,-3.6601331,149000,76,False,4.0,True,3
93175170,https://www.idealista.com/inmueble/93175170/,Calle del Capitán Blanco Argibay,Barrio Valdeacederas,Distrito Tetuán,Madrid,,,149000,63,False,3.0,True,3
93133635,https://www.idealista.com/inmueble/93133635/,,,,,,,149000,65,False,,,2
92058112,https://www.idealista.com/inmueble/92058112/,,,,,,,150000,75,True,,True,3
92658995,https://www.idealista.com/inmueble/92658995/,,,,,,,139000,61,False,2.0,True,2
92085163,https://www.idealista.com/inmueble/92085163/,,,,,,,125000,65,False,,True,2
92218793,https://www.idealista.com/inmueble/92218793/,,,,,,,123500,80,,,,3
91397009,https://www.idealista.com/inmueble/91397009/,,,,,,,149000,67,False,2.0,True,1
93272909,https://www.idealista.com/inmueble/93272909/,,,,,,,130975,64,False,4.0,True,3
92105952,https://www.idealista.com/inmueble/92105952/,,,,,,,149000,61,False,3.0,True,3
93280404,https://www.idealista.com/inmueble/93280404/,,,,,,,150000,60,True,0.5,True,2
93084388,https://www.idealista.com/inmueble/93084388/,Calle de San Pedro de Cardeña,Barrio Apóstol Santiago,Distrito Hortaleza,Madrid,40.4757964,-3.6620382,149000,80,True,4.0,True,3
93109779,https://www.idealista.com/inmueble/93109779/,Calle Pinos Baja,Barrio Valdeacederas,Distrito Tetuán,Madrid,40.4669059,-3.7037804,145000,60,True,1.0,True,1
90970357,https://www.idealista.com/inmueble/90970357/,Calle de los Bascones,Barrio Ventilla-Almenara,Distrito Tetuán,Madrid,40.465887,-3.6964013,149000,73,False,2.0,True,3
93118767,https://www.idealista.com/inmueble/93118767/,Calle de Sánchez Preciado,Barrio Valdezarza,Distrito Moncloa,Madrid,,,140000,60,False,,True,2
92782474,https://www.idealista.com/inmueble/92782474/,,,,,,,135000,67,False,5.0,True,3
92925714,https://www.idealista.com/inmueble/92925714/,,,,,,,115000,60,False,,True,1
93251350,https://www.idealista.com/inmueble/93251350/,,,,,,,120000,64,False,,True,2
89928575,https://www.idealista.com/inmueble/89928575/,,,,,,,149000,127,False,3.0,True,
92596756,https://www.idealista.com/inmueble/92596756/,,,,,,,119000,61,False,,False,1
93220871,https://www.idealista.com/inmueble/93220871/,,,,,,,130000,65,False,2.0,True,2
91447125,https://www.idealista.com/inmueble/91447125/,,,,,,,149000,74,False,4.0,True,3
93217214,https://www.idealista.com/inmueble/93217214/,,,,,,,140000,70,False,4.0,True,3
91191179,https://www.idealista.com/inmueble/91191179/,,,,,,,135000,70,False,2.0,True,3
92648039,https://www.idealista.com/inmueble/92648039/,,,,,,,109000,109,False,,,3
92561450,https://www.idealista.com/inmueble/92561450/,,,,,,,109000,109,False,,True,3
92200643,https://www.idealista.com/inmueble/92200643/,,,,,,,149000,61,False,3.0,True,3
92198986,https://www.idealista.com/inmueble/92198986/,,,,,,,149000,61,False,,True,3
93224056,https://www.idealista.com/inmueble/93224056/,,,,,,,130000,64,False,2.0,,2
85628653,https://www.idealista.com/inmueble/85628653/,,,,,,,150000,70,False,4.0,True,3
93085070,https://www.idealista.com/inmueble/93085070/,,,,,,,130000,68,,5.0,,3
88780582,https://www.idealista.com/inmueble/88780582/,,,,,,,101000,77,False,2.0,True,2
91685658,https://www.idealista.com/inmueble/91685658/,,,,,,,150000,70,False,0.5,True,2
92669652,https://www.idealista.com/inmueble/92669652/,,,,,,,125000,70,False,2.0,True,3
88311185,https://www.idealista.com/inmueble/88311185/,,,,,,,131000,65,False,,True,1
93085068,https://www.idealista.com/inmueble/93085068/,,,,,,,133000,62,,5.0,,2
93219265,https://www.idealista.com/inmueble/93219265/,,,,,,,130975,64,False,4.0,True,3
93186056,https://www.idealista.com/inmueble/93186056/,,,,,,,149000,75,False,4.0,True,3
92750345,https://www.idealista.com/inmueble/92750345/,,,,,,,144000,60,False,4.0,True,2
92653468,https://www.idealista.com/inmueble/92653468/,,,,,,,149000,61,False,3.0,True,3
89353218,https://www.idealista.com/inmueble/89353218/,,,,,,,130975,64,False,4.0,,3
92702395,https://www.idealista.com/inmueble/92702395/,,,,,,,149000,62,,,,1
